primary_hgnc_id	secondary_hgnc_id	primary_symbol	secondary_symbol
HGNC:37133	NA	A1BG-AS1	NCRNA00181
HGNC:37133	NA	A1BG-AS1	A1BGAS
HGNC:37133	NA	A1BG-AS1	A1BG-AS
HGNC:23336	NA	A2ML1	CPAMD9
HGNC:8	NA	A2MP1	A2MP
HGNC:30005	NA	A3GALT2	A3GALT2P
HGNC:18226	NA	AACSP1	AACSL
HGNC:30205	NA	AAMDC	C11orf67
HGNC:15886	NA	AAR2	C20orf4
HGNC:33842	NA	AARD	C8orf85
HGNC:20	NA	AARS1	AARS
HGNC:49894	NA	AARS1P1	AARSP1
HGNC:21022	NA	AARS2	AARSL
HGNC:34	NA	ABCA4	STGD
HGNC:31	NA	ABCA11P	ABCA11
HGNC:34405	NA	ABCA15P	NCRNA00169
HGNC:34405	NA	ABCA15P	CRYM-AS1
HGNC:40	NA	ABCB1	PGY1
HGNC:45	NA	ABCB4	PGY3
HGNC:14114	NA	ABCB10P1	ABCB10P
HGNC:59	NA	ABCC8	HRINS
HGNC:69	NA	ABCE1	RNASELI
HGNC:54751	NA	ABCF2-H2BK1	ABCF2-H2BE1
HGNC:16407	NA	ABHD11	WBSCR21
HGNC:15868	NA	ABHD12	C20orf22
HGNC:19837	NA	ABHD12B	C14orf29
HGNC:20293	NA	ABHD13	C13orf6
HGNC:13921	NA	ABHD16A	BAT5
HGNC:16128	NA	ABHD16B	C20orf135
HGNC:28756	NA	ABHD17A	C19orf27
HGNC:28756	NA	ABHD17A	FAM108A1
HGNC:28394	NA	ABHD17AP1	FAM108A2
HGNC:28394	NA	ABHD17AP1	FAM108A3
HGNC:28394	NA	ABHD17AP1	FAM108A3P
HGNC:34041	NA	ABHD17AP3	FAM108A4
HGNC:34041	NA	ABHD17AP3	FAM108A4P
HGNC:34042	NA	ABHD17AP4	FAM108A5
HGNC:34042	NA	ABHD17AP4	FAM108A5P
HGNC:34043	NA	ABHD17AP5	FAM108A6
HGNC:34043	NA	ABHD17AP5	FAM108A6P
HGNC:34044	NA	ABHD17AP6	FAM108A7P
HGNC:38508	NA	ABHD17AP7	FAM108A8P
HGNC:38509	NA	ABHD17AP8	FAM108A9P
HGNC:38510	NA	ABHD17AP9	FAM108A10P
HGNC:24278	NA	ABHD17B	C9orf77
HGNC:24278	NA	ABHD17B	FAM108B1
HGNC:26925	NA	ABHD17C	FAM108C1
HGNC:26111	NA	ABHD18	C4orf29
HGNC:11320	NA	ABI1	SSH3BP1
HGNC:20035	NA	ABI1P1	SSH3BP1P
HGNC:20035	NA	ABI1P1	ABI1P
HGNC:1364	NA	ABITRAM	C9orf6
HGNC:1364	NA	ABITRAM	FAM206A
HGNC:39851	NA	ABITRAMP1	FAM206BP
HGNC:76	NA	ABL1	ABL
HGNC:77	NA	ABL2	ABLL
HGNC:78	NA	ABLIM1	ABLIM
HGNC:21230	NA	ABRACL	C6orf115
HGNC:25829	NA	ABRAXAS1	CCDC98
HGNC:25829	NA	ABRAXAS1	FAM175A
HGNC:28975	NA	ABRAXAS2	KIAA0157
HGNC:28975	NA	ABRAXAS2	FAM175B
HGNC:23844	NA	ABTB3	BTBD11
HGNC:84	NA	ACACA	ACAC
HGNC:319	NA	ACAN	AGC1
HGNC:16467	NA	ACAP1	CENTB1
HGNC:16469	NA	ACAP2	CENTB2
HGNC:16754	NA	ACAP3	CENTB5
HGNC:93	NA	ACAT1	ACAT
HGNC:15453	NA	ACBD3	GOLPH1
HGNC:15453	NA	ACBD3	GOCAP1
HGNC:18356	NA	ACER1	ASAH3
HGNC:23675	NA	ACER2	ASAH3L
HGNC:16066	NA	ACER3	PHCA
HGNC:17066	NA	ACIN1	ACINUS
HGNC:4035	NA	ACKR1	FY
HGNC:4035	NA	ACKR1	DARC
HGNC:1565	NA	ACKR2	CCBP2
HGNC:23692	NA	ACKR3	CMKOR1
HGNC:23692	NA	ACKR3	CXCR7
HGNC:1611	NA	ACKR4	CCRL1
HGNC:21142	NA	ACKR4P1	CCRL1P
HGNC:21142	NA	ACKR4P1	CCRL1P1
HGNC:34504	NA	ACNATP	BAATP1
HGNC:33904	NA	ACOD1	IRG1
HGNC:15919	NA	ACOT8	PTE1
HGNC:18156	NA	ACOT11	THEA
HGNC:20999	NA	ACOT13	THEM2
HGNC:125	NA	ACP3	ACPP
HGNC:14376	NA	ACP4	ACPT
HGNC:3569	NA	ACSL1	FACL2
HGNC:3570	NA	ACSL3	FACL3
HGNC:3571	NA	ACSL4	FACL4
HGNC:16526	NA	ACSL5	FACL5
HGNC:16496	NA	ACSL6	FACL6
HGNC:18049	NA	ACSM1	BUCS1
HGNC:32017	NA	ACSM2A	ACSM2
HGNC:30931	NA	ACSM2B	ACSM2
HGNC:10522	NA	ACSM3	SAH
HGNC:31665	NA	ACSM6	C10orf129
HGNC:16091	NA	ACSS1	ACAS2L
HGNC:15814	NA	ACSS2	ACAS2
HGNC:129	NA	ACTA1	ACTA
HGNC:150	NA	ACTBP12	ACTGP5
HGNC:143	NA	ACTC1	ACTC
HGNC:144	NA	ACTG1	ACTG
HGNC:146	NA	ACTG1P1	ACTGP1
HGNC:146	NA	ACTG1P1	ACT1GP1
HGNC:147	NA	ACTG1P2	ACTGP2
HGNC:148	NA	ACTG1P3	ACTGP3
HGNC:149	NA	ACTG1P4	ACTGP4
HGNC:151	NA	ACTG1P6	ACTGP6
HGNC:152	NA	ACTG1P7	ACTGP7
HGNC:153	NA	ACTG1P8	ACTGP8
HGNC:154	NA	ACTG1P9	ACTGP9
HGNC:155	NA	ACTG1P10	ACTL1
HGNC:155	NA	ACTG1P10	ACTGP10
HGNC:49661	NA	ACTG1P24	POTENP
HGNC:160	NA	ACTL6B	ACTL6
HGNC:16127	NA	ACTL10	C20orf134
HGNC:44626	NA	ACTL11P	ACTBP13
HGNC:24758	NA	ACTMAP	C19orf54
HGNC:20131	NA	ACTN1-DT	C14orf84
HGNC:20131	NA	ACTN1-DT	ACTN1-AS1
HGNC:172	NA	ACVR1B	ACVRLK4
HGNC:173	NA	ACVR2A	ACVR2
HGNC:175	NA	ACVRL1	ACVRLK1
HGNC:1839	NA	ADA2	IDGFL
HGNC:1839	NA	ADA2	CECR1
HGNC:187	NA	ADAM1A	ADAM1
HGNC:212	NA	ADAM5	ADAM5P
HGNC:20102	NA	ADAM20P1	C14orf55
HGNC:19822	NA	ADAM21P1	ADAM21P
HGNC:19706	NA	ADAMTSL4	TSRC1
HGNC:32041	NA	ADAMTSL4-AS1	C1orf138
HGNC:27912	NA	ADAMTSL5	THSD6
HGNC:16486	NA	ADAP1	CENTA1
HGNC:16487	NA	ADAP2	CENTA2
HGNC:23299	NA	ADARB2-AS1	C10orf109
HGNC:23299	NA	ADARB2-AS1	NCRNA00168
HGNC:21172	NA	ADAT2	DEADC1
HGNC:239	NA	ADCY8	ADCY3
HGNC:21212	NA	ADGB	C6orf103
HGNC:13838	NA	ADGRA1	GPR123
HGNC:49543	NA	ADGRA1-AS1	GPR123-AS1
HGNC:17849	NA	ADGRA2	GPR124
HGNC:13839	NA	ADGRA3	GPR125
HGNC:943	NA	ADGRB1	BAI1
HGNC:944	NA	ADGRB2	BAI2
HGNC:945	NA	ADGRB3	BAI3
HGNC:19893	NA	ADGRD1	GPR133
HGNC:18651	NA	ADGRD2	GPR144
HGNC:3336	NA	ADGRE1	TM7LN3
HGNC:3336	NA	ADGRE1	EMR1
HGNC:3337	NA	ADGRE2	EMR2
HGNC:23647	NA	ADGRE3	EMR3
HGNC:19240	NA	ADGRE4P	GPR127
HGNC:19240	NA	ADGRE4P	EMR4
HGNC:19240	NA	ADGRE4P	EMR4P
HGNC:1711	NA	ADGRE5	CD97
HGNC:18990	NA	ADGRF1	GPR110
HGNC:18991	NA	ADGRF2P	GPR111
HGNC:18991	NA	ADGRF2P	ADGRF2
