pmcid	doi	abstractText	pubYear	title	pmid	primary_symbol	secondary_symbol	type
NA	10.1007/s13577-021-00554-8	The dysregulated long non-coding RNA A1BG antisense RNA 1 (A1BG-AS1) has been implicated in the oncogenicity of hepatocellular carcinoma. Using reverse transcription quantitative polymerase chain reaction in this study, we detected A1BG-AS1 expression in breast cancer and elucidated the regulatory functions and exact mechanisms of A1BG-AS1 in breast cancer cells. The regulatory functions of A1BG-AS1 were examined in vitro using the Cell Counting Kit-8 assay, flow cytometric, and Transwell migration and invasion assays and in vivo through tumor xenograft experiments. In addition, we performed bioinformatics analysis, luciferase reporter assay, RNA immunoprecipitation, and rescue experiments to verify the interaction among A1BG-AS1, microRNA-485-5p (miR-485-5p), and flotillin-1 (FLOT1) in breast cancer. We found A1BG-AS1 to be highly expressed in breast cancer tissues and cell lines. In terms of function, depleted A1BG-AS1 markedly suppressed cell proliferation, accelerated cell apoptosis, and hindered cell migration and invasion in breast cancer. Furthermore, A1BG-AS1 interference reduced tumor growth in vivo. Mechanistic investigations confirmed that A1BG-AS1 directly interacted with miR-485-5p as a molecular sponge. We demonstrated that FLOT1 is a direct target of miR-485-5p, which could be positively regulated by A1BG-AS1 by competing for miR-485-5p. Rescue experiments clearly showed that the downregulation of miR-485-5p and upregulation of FLOT1 were capable of reversing the anticancer activities of A1BG-AS1 deficiency in terms of breast cancer cell malignancy. A1BG-AS1 acts as a miR-485-5p sponge and subsequently increases FLOT1 expression in breast cancer cells, ultimately facilitating cancer progression. Hence, the A1BG-AS1/miR-485-5p/FLOT1 pathway might offer a novel therapeutic perspective for breast cancer.	2021	Long non-coding RNA A1BG-AS1 promotes tumorigenesis in breast cancer by sponging microRNA-485-5p and consequently increasing expression of FLOT1 expression.	34115333	A1BG-AS1	NCRNA00181	primary_symbol
NA	10.1002/jcb.28315	Extensive evidence indicate that long noncoding RNAs (lncRNAs) regulates the tumorigenesis and progression of hepatocellular carcinoma (HCC). However, the expression and biological function of lncRNA A1BG antisense RNA 1 (A1BG-AS1) were poorly known in HCC. Here, we found the underexpression of A1BG-AS1 in HCC via analysis of The Cancer Genome Atlas database. Further analyses confirmed that A1BG-AS1 expression in HCC was markedly lower than that in noncancerous tissues based on our HCC cohort. Clinical association analysis revealed that low A1BG-AS1 expression correlated with poor prognostic features, such as microvascular invasion, high tumor grade, and advanced tumor stage. Follow-up data indicated that low A1BG-AS1 level evidently correlated with poor clinical outcomes of HCC patients. Moreover, forced expression of A1BG-AS1 repressed proliferation, migration, and invasion of HCC cells in vitro. Conversely, A1BG-AS1 knockdown promoted these malignant behaviors in HepG2 cells. Mechanistically, A1BG-AS1 functioned as a competing endogenous RNA by directly sponging miR-216a-5p in HCC cells. Notably, miR-216a-5p restoration rescued A1BG-AS1 attenuated proliferation, migration and invasion of HCCLM3 cells. A1BG-AS1 positively regulated the levels of phosphatase and tensin homolog and SMAD family member 7, which were reduced by miR-216a-5p in HCC cells. Altogether, we conclude that A1BG-AS1 exerts a tumor suppressive role in HCC progression.	2019	lncRNA A1BG-AS1 suppresses proliferation and invasion of hepatocellular carcinoma cells by targeting miR-216a-5p.	30556161	A1BG-AS1	NCRNA00181	primary_symbol
PMC9977555	10.1155/2023/6072438	<h4>Introduction</h4>Diabetes is a chronic inflammatory state, and a key role of lncRNAs in diabetes complications is a new area of research.<h4>Methods</h4>In this study, key lncRNAs related to diabetes inflammation were identified by RNA-chip mining and lncRNA-mRNA coexpression network construction and finally verified by RT-qPCR.<h4>Results</h4>We ultimately obtained 12 genes, including A1BG-AS1, AC084125.4, RAMP2-AS1, FTX, DBH-AS1, LOXL1-AS1, LINC00893, LINC00894, PVT1, RUSC1-AS1, HCG25, and ATP1B3-AS1. RT-qPCR assays verified that LOXL1-AS1, A1BG-AS1, FTX, PVT1, and HCG25 were upregulated in the HG+LPS-induced THP-1 cells, and LINC00893, LINC00894, RUSC1-AS1, DBH-AS1, and RAMP2-AS1 were downregulated in the HG+LPS-induced THP-1 cells.<h4>Conclusions</h4>lncRNAs and mRNAs are extensively linked and form a coexpression network, and lncRNAs may influence the development of type 2 diabetes by regulating the corresponding mRNAs. The ten key genes obtained may become biomarkers of inflammation in type 2 diabetes in the future.	2023	Bioinformatics Analysis of the Inflammation-Associated lncRNA-mRNA Coexpression Network in Type 2 Diabetes.	36874406	A1BG-AS1	NCRNA00181	primary_symbol
NA	10.21203/rs.3.rs-1928440/v1	<h4>Background: </h4> The present study mined key lncRNAs and their functions related to inflammation in type 2 diabetes by constructing a lncRNA-mRNA co-expression network based on bioinformatics technology to discover new markers or therapeutic targets. Results  We finally obtained 12 genes, including A1BG-AS1, AC084125.4, RAMP2-AS1, FTX, DBH-AS1, LOXL1-AS1, LINC00893, LINC00894, PVT1, RUSC1-AS1, HCG25, and ATP1B3-AS1. RT-qPCR verified that A1BG-AS1, HCG25, and LOXL1-AS1 were upregulated in the HG + LPS-induced THP-1 cell model, and DBH-AS1 was downregulated in the HG + LPS-induced THP-1 cell model. Conclusions  LncRNAs and mRNAs are extensively linked and form a co-expression network, and lncRNAs may influence the development of type 2 diabetes by regulating the corresponding mRNAs. The four key genes obtained may become biomarkers of inflammation in type 2 diabetes in the future.	2022	Bioinformatics analysis of the inflammation-associated lncRNA- mRNA co-expression network in type 2 diabetes	NA	A1BG-AS1	NCRNA00181	primary_symbol
PMC9760568	10.1016/j.envres.2022.114828	<h4>Background</h4>DNA methylation programming is sensitive to prenatal life environmental influences, but the impact of maternal exposure to green space on newborns DNA methylation has not been studied yet.<h4>Methods</h4>We conducted a meta-epigenome-wide association study (EWAS) of maternal exposure to green space during gestation with cord blood DNA methylation in two subsets of the ENVIRONAGE cohort (N = 538). Cord blood DNA methylation was measured by Illumina HumanMethylation 450K in one subset (N = 189) and EPICarray in another (N = 349). High (vegetation height>3 m (m)), low (vegetation height<3 m) and total (including both) high-resolution green space exposures during pregnancy were estimated within 100 m and 1000 m distance around maternal residence. In each subset, we sought cytosine-phosphate-guanine (CpG) sites via linear mixed models adjusted on newborns' sex, ethnicity, gestational age, season at delivery, sampling day, maternal parity, age, smoking, education, and estimated blood cell proportions. EWASs results were meta-analysed via fixed-effects meta-analyses. Differentially methylated regions (DMRs) were identified via ENmix-combp and DMRcate algorithms. Sensitivity analyses were additionally adjusted on PM<sub>2.5</sub>, distance to major roads, urbanicity and neighborhood income. In the 450K subset, cord blood expression of differentially methylated genes was measured by Agilent microarrays and associated with green space.<h4>Results</h4>147 DMRs were identified, 85 of which were still significant upon adjustment for PM<sub>2.5</sub>, distance to major roads, urbanicity and neighborhood income, including HLA-DRB5, RPTOR, KCNQ1DN, A1BG-AS1, HTR2A, ZNF274, COL11A1 and PRSS36 DMRs. One CpG reached genome-wide significance, while 54 CpGs were suggestive significant (p-values<1e-05). Among them, a CpG, hypermethylated with 100 m buffer total green space, was annotated to PAQR9, whose expression decreased with 1000 m buffer low green space (p-value = 1.45e-05).<h4>Conclusions</h4>Our results demonstrate that maternal exposure to green space during pregnancy is associated with cord blood DNA methylation, mainly at loci organized in regions, in genes playing important roles in neurological development (e.g., HTR2A).	2023	Epigenome-wide analysis of maternal exposure to green space during gestation and cord blood DNA methylation in the ENVIRONAGE cohort.	36400229	A1BG-AS1	NCRNA00181	primary_symbol
PMC9640627	10.1038/s41598-022-23681-0	Aberrant long noncoding RNA (lncRNA) expression and fatty acid signaling dysfunction both contribute to hepatocellular carcinoma (HCC) occurrence and development. However, the relationship and interaction mechanism between lncRNAs and fatty acid signaling in HCC remain unclear. Data regarding RNA expression and clinical outcomes for patients with HCC were obtained from The Cancer Genome Atlas (TCGA), HCCDB, and the Gene Expression Omnibus (GEO) databases. Hallmark pathways were identified using the single-sample gene set enrichment analysis (ssGSEA) method. ConsensusClusterPlus was used to establish a consistency matrix for classifying samples into three subtypes. A risk signature was established, and predictive values for key lncRNAs related to prognosis were evaluated using Kaplan-Meier analysis and receiver operating characteristic curves. The ESTIMATE algorithm, MCP-Counter, and ssGSEA were used to evaluate the characteristics of the tumor immune microenvironment. The CTRP2.0 and PRISM were used to analyze drug sensitivity in HCC subtypes. We discovered seven fatty-acid-associated lncRNAs with predictive prognostic capabilities, including TRAF3IP2-AS1, SNHG10, AL157392.2, LINC02641, AL357079.1, AC046134.2, and A1BG-AS. Three subtypes were obtained, which presented with differences in prognosis, clinical information, mutation features, pathway traits, immune characteristics, and drug sensitivity. The seven key lncRNAs identified in this study might serve as promising biomarkers for predicting prognosis in patients with HCC, and the three HCC subtypes classified according to lncRNA expression profiles could improve HCC classification.	2022	A novel classification of HCC basing on fatty-acid-associated lncRNA.	36344648	A1BG-AS1	NCRNA00181	primary_symbol
PMC9706709	10.1016/j.heliyon.2022.e11790	<h4>Background</h4>Long non-coding RNAs (lncRNAs) have been the subject of considerable attention in recent years due to their role in gene regulation. However, the function of lncRNAs remains poorly understood, especially in the context of infection with low-risk human papillomaviruses (HPVs). To further understanding on this issue, we investigated lncRNA expression in HPV-induced common warts.<h4>Methods</h4>A publicly available high-throughput sequencing dataset for common warts was downloaded from the Gene Expression Omnibus (GEO). lncRNA profiles were generated using the NetworkAnalyst 3.0 workflow, and a list of differentially expressed (DE) lncRNAs in common warts was identified and inputted into the ENCODE, RegNetwork, DisGeNet, and miRNet platforms.<h4>Results</h4>A total of 54 lncRNAs were revealed to be significantly dysregulated in common warts. Of these 54 lncRNAs, 24 and 30 were upregulated and downregulated, respectively. The most significantly differentially expressed lncRNAs in common warts included the <i>CERNA2</i>, <i>LINC02159</i>, <i>SH3PXD2A-AS1</i>, and <i>UNC5B-AS1</i> genes.<h4>Conclusion</h4>The current findings suggest that HPV-induced warts impact the host lncRNA transcriptome. To the best of our knowledge, the present study is the first to explore the impact of low-risk HPV infection on lncRNA expression profiles.	2022	Network analysis of long non-coding RNA expression profiles in common warts.	36458289	A1BG-AS1	NCRNA00181	primary_symbol
PMC8806870	10.1080/21655979.2021.1953216	Metabolism affects the development, progression, and prognosis of various cancers, including breast cancer (BC). Our aim was to develop a metabolism-related long non-coding RNA (lncRNA) signature to assess the prognosis of BC patients in order to optimize treatment. Metabolism-related genes between breast tumors and normal tissues were screened out, and Pearson correlation analysis was used to investigate metabolism-related lncRNAs. In total, five metabolism-related lncRNAs were enrolled to establish prognostic signatures. Kaplan-Meier plots and the receiver operating characteristic (ROC) curves demonstrated good performance in both training and validation groups. Further analysis demonstrated that the signature was an independent prognostic factor for BC. A nomogram incorporating risk score and tumor stage was then constructed to evaluate the 3 - and 5-year recurrence-free survival (RFS) in patients with BC. In conclusion, this study identified a metabolism-related lncRNA signature that can predict RFS of BC patients and established a prognostic nomogram that helps guide the individualized treatment of patients at different risks.	2021	Metabolism-related long non-coding RNAs (lncRNAs) as potential biomarkers for predicting risk of recurrence in breast cancer patients.	34254565	A1BG-AS1	NCRNA00181	primary_symbol
PMC9876672	10.1155/2023/8994901	Uveal melanoma (UM) is an aggressive intraocular malignant tumour that is closely related to autophagic dysfunction. We aimed to identify autophagy-related long noncoding RNAs (lncRNAs) to elucidate the molecular mechanism of UM. Here, we show that LINC01278 is a new potential biomarker with clinical prognostic value in UM through bioinformatics analysis. Application of an autophagy inhibitor (3-MA) and an autophagy agonist (MG-132) indicated that LINC01278 can inhibit UM cell proliferation, migration, and invasion by inducing autophagy. A xenograft nude mouse model was used to examine the tumorigenesis of UM cells in vivo. Mechanistically, LINC01278 can inhibit the mTOR signalling pathway to activate autophagy, as shown by experiments with an mTOR agonist (MHY1485) and mTOR inhibitor (rapamycin) treatment. Our findings indicate that LINC01278 functions as a tumour suppressor by inhibiting the mTOR signalling pathway to induce autophagy. Targeting the LINC01278-mTOR axis might be a novel and promising therapeutic approach for UM.	2023	LINC01278 Induces Autophagy to Inhibit Tumour Progression by Suppressing the mTOR Signalling Pathway.	36713034	A1BG-AS1	NCRNA00181	primary_symbol
PMC8517989	10.7150/jca.63351	Long non-coding RNAs (lncRNAs) are critical drivers and suppressors of human hepatocellular carcinoma (HCC). The downregulation of transmembrane protein 220 antisense RNA 1 (TMEM220-AS1) is correlated with poor prognosis in HCC. Nevertheless, the role of TMEM220-AS1 in HCC and the underlying mechanism remains unclear. In this study, TMEM220-AS1 levels were markedly reduced in HCC tissues compared with noncancerous tissues. TMEM220-AS1 downregulation was confirmed in HCC cell lines. TMEM220-AS1 expression was associated with tumor stage, venous infiltration, tumor size, and survival of HCC patients. TMEM220-AS1 overexpression suppressed the migration, invasion, and proliferation of HCC cells. Interestingly, ectopic expression of TMEM220-AS1 increased TMEM220 levels in HCC cells. Decreased TMEM220 levels were observed in HCC tissues and cell lines. TMEM220 expression was positively correlated with TMEM220-AS1 levels in HCC tissue samples and TMEM220 downregulation was significantly correlated with reduced patient survival. TMEM220 overexpression suppressed HCC cell proliferation and mobility. TMEM220 knockdown eliminated the suppressive effect of TMEM220-AS1 in HCCLM3 cells. Mechanistically, TMEM220 overexpression reduced the nuclear accumulation of β-catenin and decreased MYC, Cyclin D1, and Snail1 mRNA levels in HCCLM3 cells. BIO, a GSK3β inhibitor, eliminated TMEM220-induced Wnt/β-catenin pathway inactivation and inhibited HCC cell proliferation and mobility. In conclusion, TMEM220-AS1 and TMEM220 were expressed at low levels in HCC patients. TMEM220-AS1 inhibited the malignant behavior of HCC cells by enhancing TMEM220 expression and subsequently inactivating the Wnt/β-catenin pathway.	2021	LncRNA TMEM220-AS1 suppresses hepatocellular carcinoma cell proliferation and invasion by regulating the TMEM220/β-catenin axis.	34659569	A1BG-AS1	NCRNA00181	primary_symbol
