pmcid	doi	abstractText	pubYear	title	pmid	secondary_symbol	primary_symbol	type
PMC8006465	10.3389/fnagi.2021.639428	Alzheimer's disease (AD) is characterized by specific alterations of brain DNA methylation (DNAm) patterns. Age and sex, two major risk factors for AD, are also known to largely affect the epigenetic profiles in brain, but their contribution to AD-associated DNAm changes has been poorly investigated. In this study we considered publicly available DNAm datasets of four brain regions (temporal, frontal, entorhinal cortex, and cerebellum) from healthy adult subjects and AD patients, and performed a meta-analysis to identify sex-, age-, and AD-associated epigenetic profiles. In one of these datasets it was also possible to distinguish 5-methylcytosine (5mC) and 5-hydroxymethylcytosine (5hmC) profiles. We showed that DNAm differences between males and females tend to be shared between the four brain regions, while aging differently affects cortical regions compared to cerebellum. We found that the proportion of sex-dependent probes whose methylation is modified also during aging is higher than expected, but that differences between males and females tend to be maintained, with only a few probes showing age-by-sex interaction. We did not find significant overlaps between AD- and sex-associated probes, nor disease-by-sex interaction effects. On the contrary, we found that AD-related epigenetic modifications are significantly enriched in probes whose DNAm varies with age and that there is a high concordance between the direction of changes (hyper or hypo-methylation) in aging and AD, supporting accelerated epigenetic aging in the disease. In summary, our results suggest that age-associated DNAm patterns concur to the epigenetic deregulation observed in AD, providing new insights on how advanced age enables neurodegeneration.	2021	A Meta-Analysis of Brain DNA Methylation Across Sex, Age, and Alzheimer's Disease Points for Accelerated Epigenetic Aging in Neurodegeneration.	33790779	NCRNA00181	A1BG-AS1	secondary_symbol
PMC4640166	10.1186/s12864-015-2034-y	<h4>Background</h4>DNA methylation is an important epigenetic mark that can potentially link early life exposures to adverse health outcomes later in life. Host factors like sex and age strongly influence biological variation of DNA methylation, but characterization of these relationships is still limited, particularly in young children.<h4>Methods</h4>In a sample of 111 Mexican-American subjects (58 girls , 53 boys), we interrogated DNA methylation differences by sex at birth using the 450 K BeadChip in umbilical cord blood specimens, adjusting for cell composition.<h4>Results</h4>We observed that ~3% of CpG sites were differentially methylated between girls and boys at birth (FDR P < 0.05). Of those CpGs, 3031 were located on autosomes, and 82.8% of those were hypermethylated in girls compared to boys. Beyond individual CpGs, we found 3604 sex-associated differentially methylated regions (DMRs) where the majority (75.8%) had higher methylation in girls. Using pathway analysis, we found that sex-associated autosomal CpGs were significantly enriched for gene ontology terms related to nervous system development and behavior. Among hits in our study, 35.9% had been previously reported as sex-associated CpG sites in other published human studies. Further, for replicated hits, the direction of the association with methylation was highly concordant (98.5-100%) with previous studies.<h4>Conclusions</h4>To our knowledge, this is the first reported epigenome-wide analysis by sex at birth that examined DMRs and adjusted for confounding by cell composition. We confirmed previously reported trends that methylation profiles are sex-specific even in autosomal genes, and also identified novel sex-associated CpGs in our methylome-wide analysis immediately after birth, a critical yet relatively unstudied developmental window.	2015	Sex differences in DNA methylation assessed by 450 K BeadChip in newborns.	26553366	NCRNA00181	A1BG-AS1	secondary_symbol
NA	10.1002/lary.30840	<h4>Objective</h4>Biological data on the beneficial effects of vocal fold rehydration are lacking. This study aimed to examine the effects of acute systemic dehydration on vocal fold gene expression and determine whether rehydration would reverse these changes.<h4>Methods</h4>Male New Zealand White rabbits (N = 24, n = 8/group) provided the animal model. Systemic dehydration was induced by 5 days of water volume restriction. Rehydration was provided by ad-lib water for 3 days following dehydration. Euhydrated rabbits were used as the control group. Vocal fold tissue was dissected. Seventeen genes were selected based on physiological function and role in supporting vocal fold structure, oxidative stress, hemodynamics, and extracellular matrix turnover. Relative gene expression was assessed by RT-qPCR.<h4>Results</h4>Rehydration following systemic dehydration can modulate gene expression, with expression patterns suggesting that rehydration reverses dehydration-induced changes in over half of the tested genes. CLIC5 (chloride intracellular channel 5) and EFEMP1 (EGF containing fibulin extracellular matrix protein 1) genes were significantly upregulated in the dehydration group compared with the euhydrated control. A1BG (alpha-1B-glycoprotein) and IL1RAP (interleukin 1 receptor accessory protein) were downregulated by rehydration compared with the dehydration group.<h4>Conclusion</h4>This study provides molecular evidence for a transcriptional response to rehydration following acute systemic dehydration in the vocal folds. These data are the first to study gene expression following realistic dehydration and rehydration paradigms and provide biological data to support clinical recommendations to increase water intake after acute dehydration.<h4>Level of evidence</h4>N/A Laryngoscope, 2023.	2023	Impact of Rehydration Following Systemic Dehydration on Vocal Fold Gene Expression.	37345579	A1BG-AS	A1BG-AS1	secondary_symbol
PMC10093134	10.3390/diagnostics13071318	Nowadays, in the case of suspected prostate cancer (PCa), tissue needle biopsy remains the benchmark for diagnosis despite its invasiveness and poor tolerability, as serum prostate-specific antigen (PSA) is limited by low specificity. The aim of this proteomic study was to identify new diagnostic biomarkers in urine, an easily and non-invasively available sample, able to selectively discriminate cancer from benign prostatic hyperplasia (BPH), evaluating whether the presence of inflammation may be a confounding parameter. The analysis was performed by two-dimensional gel electrophoresis (2-DE), mass spectrometry (LC-MS/MS) and Enzyme-Linked Immunosorbent Assay (ELISA) on urine samples from PCa and BPH patients, divided into subgroups based on the presence or absence of inflammation. Significant quantitative and qualitative differences were found in the urinary proteomic profile of PCa and BPH groups. Of the nine differentially expressed proteins, only five can properly be considered potential biomarkers of PCa able to discriminate the two diseases, as they were not affected by the inflammatory process. Therefore, the proteomic research of novel and reliable urinary biomarkers of PCa should be conducted considering the presence of inflammation as a realistic interfering element, as it could hinder the detection of important protein targets.	2023	Research of Prostate Cancer Urinary Diagnostic Biomarkers by Proteomics: The Noteworthy Influence of Inflammation.	37046536	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9977555	10.1155/2023/6072438	<h4>Introduction</h4>Diabetes is a chronic inflammatory state, and a key role of lncRNAs in diabetes complications is a new area of research.<h4>Methods</h4>In this study, key lncRNAs related to diabetes inflammation were identified by RNA-chip mining and lncRNA-mRNA coexpression network construction and finally verified by RT-qPCR.<h4>Results</h4>We ultimately obtained 12 genes, including A1BG-AS1, AC084125.4, RAMP2-AS1, FTX, DBH-AS1, LOXL1-AS1, LINC00893, LINC00894, PVT1, RUSC1-AS1, HCG25, and ATP1B3-AS1. RT-qPCR assays verified that LOXL1-AS1, A1BG-AS1, FTX, PVT1, and HCG25 were upregulated in the HG+LPS-induced THP-1 cells, and LINC00893, LINC00894, RUSC1-AS1, DBH-AS1, and RAMP2-AS1 were downregulated in the HG+LPS-induced THP-1 cells.<h4>Conclusions</h4>lncRNAs and mRNAs are extensively linked and form a coexpression network, and lncRNAs may influence the development of type 2 diabetes by regulating the corresponding mRNAs. The ten key genes obtained may become biomarkers of inflammation in type 2 diabetes in the future.	2023	Bioinformatics Analysis of the Inflammation-Associated lncRNA-mRNA Coexpression Network in Type 2 Diabetes.	36874406	A1BG-AS	A1BG-AS1	secondary_symbol
PMC10007776	10.1186/s13098-023-01007-y	<h4>Background</h4>Subclinical atherosclerosis is frequently observed in type 1 diabetes (T1D) although the mechanisms and markers involved in the evolution to established cardiovascular disease are not well known. High-density lipoprotein cholesterol in T1D is normal or even high, and changes in its functionality and proteomics are considered. Our aim was to evaluate the proteomics of HDL subfractions in T1D and control subjects and its association with clinical variables, subclinical atherosclerosis markers and HDL functionality.<h4>Methods</h4>A total of 50 individuals with T1D and 30 matched controls were included. Carotid-femoral pulse wave velocity (PWV), flow-mediated vasodilation (FMD), cardiovascular autonomic neuropathy (CAN), and ten-year cardiovascular risk (ASCVDR) were determined. Proteomics (parallel reaction monitoring) was determined in isolated HDL<sub>2</sub> and HDL<sub>3</sub> that were also utilized to measure cholesterol efflux from macrophages.<h4>Results</h4>Among 45 quantified proteins, 13 in HDL<sub>2</sub> and 33 in HDL<sub>3</sub> were differentially expressed in T1D and control subjects. Six proteins related to lipid metabolism, one to inflammatory acute phase, one to complement system and one to antioxidant response were more abundant in HDL<sub>2</sub>, while 14 lipid metabolism, three acute-phase, three antioxidants and one transport in HDL<sub>3</sub> of T1D subjects. Three proteins (lipid metabolism, transport, and unknown function) were more abundant in HDL<sub>2</sub>; and ten (lipid metabolism, transport, protease inhibition), more abundant in HDL<sub>3</sub> of controls. Individuals with T1D had higher PWV and ten-year ASCVDR, and lower FMD, Cholesterol efflux from macrophages was similar between T1D and controls. Proteins in HDL<sub>2</sub> and HDL<sub>3</sub>, especially related to lipid metabolism, correlated with PWV, CAN, cholesterol efflux, HDLc, hypertension, glycemic control, ten-year ASCVDR, and statins use.<h4>Conclusion</h4>HDL proteomics can be predictive of subclinical atherosclerosis in type 1 diabetes. Proteins that are not involved in reverse cholesterol transport may be associated with the protective role of HDL.	2023	Proteomics of high-density lipoprotein subfractions and subclinical atherosclerosis in type 1 diabetes mellitus: a case-control study.	36899434	A1BG-AS	A1BG-AS1	secondary_symbol
PMC10117404	10.1158/2767-9764.crc-23-0015	The response rates upon neoadjuvant immune checkpoint blockade (ICB) in stage III melanoma are higher as compared with stage IV disease. Given that successful ICB depends on systemic immune response, we hypothesized that systemic immune suppression might be a mechanism responsible for lower response rates in late-stage disease, and also potentially with disease recurrence in early-stage disease. Plasma and serum samples of cohorts of patients with melanoma were analyzed for circulating proteins using mass spectrometry proteomic profiling and Olink proteomic assay. A cohort of paired samples of patients with stage III that progressed to stage IV disease (<i>n</i> = 64) was used to identify markers associated with higher tumor burden. Baseline patient samples from the OpACIN-neo study (<i>n</i> = 83) and PRADO study (<i>n</i> = 49; NCT02977052) were used as two independent cohorts to analyze whether the potential identified markers are also associated with disease recurrence after neoadjuvant ICB therapy. When comparing baseline proteins overlapping between patients with progressive disease and patients with recurrent disease, we found leucine-rich alpha-2-glycoprotein 1 (LRG1) to be associated with worse prognosis. Especially nonresponder patients to neoadjuvant ICB (OpACIN-neo) with high LRG1 expression had a poor outcome with an estimated 36-month event-free survival of 14% as compared with 83% for nonresponders with a low LRG1 expression (<i>P</i> = 0.014). This finding was validated in an independent cohort (<i>P</i> = 0.0021). LRG1 can be used as a biomarker to identify patients with high risk for disease progression and recurrence, and might be a target to be combined with neoadjuvant ICB.<h4>Significance</h4>LRG1 could serve as a potential target and as a biomarker to identify patients with high risk for disease recurrence, and consequently benefit from additional therapies and intensive follow-up.	2023	Systemic LRG1 Expression in Melanoma is Associated with Disease Progression and Recurrence.	37089863	A1BG-AS	A1BG-AS1	secondary_symbol
PMC10008006	10.2147/dmso.s396239	<h4>Purpose</h4>Obesity is considered a promoter of type 2 diabetes mellitus (T2DM). However, the underlying mechanism remains unclear. This study aimed to identify plasma exosome differentially expressed proteins (DEPs) that are potentially involved in the development of obesity-related T2DM.<h4>Methods</h4>Exosomes were isolated from the plasma of obese and non-obese T2DM patients (n = 10 for each group). A label-free quantitative mass spectrometry analysis was applied to identify plasma exosome DEPs in obese patients compared with non-obese patients, followed by bioinformatics analysis including GO annotation, KEGG analysis, subcellular localization prediction, transcription factor analysis, and protein-protein interaction (PPI) prediction.<h4>Results</h4>We identified 2 significantly upregulated proteins (C9 and PON1) and 5 significantly downregulated proteins (HPX, A1BG, CFHR1, ANG, and CALM) in obese patients compared with those in non-obese patients. KEGG analysis demonstrated that the insulin signaling pathway was one of the pathways that significantly correlated with the DEPs. The DEPs were primarily localized in the extracellular space (5 out of 7). HMG-box and NF-Y beta might regulate the transcription of the DEPs. C9, PON1, HPX, and CFHR1 were present in the PPI network.<h4>Conclusion</h4>The plasma exosome DEPs are potentially responsible for the development of obesity-related T2DM possibly through the insulin signaling pathway and the interaction with other proteins. Our study may guide future research direction toward the pathogenesis of obesity-related T2DM.	2023	Comparison of Plasma Exosome Proteomes Between Obese and Non-Obese Patients with Type 2 Diabetes Mellitus.	36915396	A1BG-AS	A1BG-AS1	secondary_symbol
NA	10.21203/rs.3.rs-1928440/v1	<h4>Background: </h4> The present study mined key lncRNAs and their functions related to inflammation in type 2 diabetes by constructing a lncRNA-mRNA co-expression network based on bioinformatics technology to discover new markers or therapeutic targets. Results  We finally obtained 12 genes, including A1BG-AS1, AC084125.4, RAMP2-AS1, FTX, DBH-AS1, LOXL1-AS1, LINC00893, LINC00894, PVT1, RUSC1-AS1, HCG25, and ATP1B3-AS1. RT-qPCR verified that A1BG-AS1, HCG25, and LOXL1-AS1 were upregulated in the HG + LPS-induced THP-1 cell model, and DBH-AS1 was downregulated in the HG + LPS-induced THP-1 cell model. Conclusions  LncRNAs and mRNAs are extensively linked and form a co-expression network, and lncRNAs may influence the development of type 2 diabetes by regulating the corresponding mRNAs. The four key genes obtained may become biomarkers of inflammation in type 2 diabetes in the future.	2022	Bioinformatics analysis of the inflammation-associated lncRNA- mRNA co-expression network in type 2 diabetes	NA	A1BG-AS	A1BG-AS1	secondary_symbol
PMC9924781	10.19852/j.cnki.jtcm.20220617.002	<h4>Objective</h4>To explore the novel biomarkers and therapeutic target candidates related to the stasis-heat syndrome of acute intracerebral hemorrhage (AICH).<h4>Methods</h4>Applying an isobaric tagging for relative and absolute quantitation-(iTRAQ-) based quantitative proteomic approach, plasma samples from AICH patients with stasis-heat, and AICH patients with non-stasis-heat and healthy control subjects were collected and analyzed to distinguish differentially expressed proteins (DEPs) correlated to AICH with stasis-heat in this block design. The standard Western blot was applied to verify DEPs. Additionally, DEPs were analyzed via bioinformatic platforms and further approved via Ingenuity Pathway Analysis (IPA).<h4>Results</h4>A total of 26 DEPs were found among AICH with the stasis-heat, AICH with non-stasis-heat, and healthy control group. The seven DEPs compared with the non-stasis-heat group are closely related to the pathogenesis of stasis heat. These proteins showed three different protein expression patterns. The alpha-1-b glycoprotein (A1BG) and copper-protein (CP) were up-regulated in the stasis-heat group, but down-regulated in the non-stasis-heat group. Compared with the non-stasis-heat group, the expression abundance of actinin, alpha 1 (ACTN1), carbonic anhydrase I (CA1), peroxiredoxin 2 (PRDX2), and vinculin (VCL) is higher in the stasis-heat group, while the CD44 is the opposite. These differences reflect that stasis-heat syndrome has more severe inflammatory immune response, coagulation disorders and damage. Bioinformatics analysis revealed that a wide variety of cellular and metabolic processes and some signaling pathways were involved in the pathophysiology of AICH with stasis-heat. AICH with stasis-heat syndrome showed more severe inflammatory reactions, tissue damage, and coagulation disorders than non-stasis heat syndrome.<h4>Conclusions</h4>There are differences in the protein expression patterns between the stasis-heat syndrome and non-stasis-heat syndrome. These differences reflect that stasis-heat syndrome has more severe damage. CD44, CP, ACTN1, CA1, VCL, PRDX2, and A1BG could be the potential biomarkers and therapeutic target candidates of the stasis-heat subtype. This study provides a reasonable explaination for Liangxue Tongyu decoction through anti-inflammatory and brain protection treatment.	2022	Identification of novel biomarkers and therapeutic target candidates for stasis-heat symptom pattern of acute intracerebral hemorrhage by quantitative plasma proteomics.	35848980	A1BG-AS	A1BG-AS1	secondary_symbol
